,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"27-1",1950-02-09,17.280000999999999,0.0040592691285841198,1.647766585827608e-05
"28-1",1950-02-10,17.239999999999998,-0.0023175560107313586,5.3710658628770494e-06
"29-1",1950-02-14,17.059999000000001,-0.010495781788662395,0.00011016143535521719
"30-1",1950-02-15,17.059999000000001,0,0
"31-1",1950-02-16,16.989999999999998,-0.004111547763043788,1.6904825007790378e-05
"32-1",1950-02-17,17.149999999999999,0.0093732379281079581,8.7857589256921573e-05
"33-1",1950-02-20,17.200001,0.0029112683469918466,8.4754833881966386e-06
"34-1",1950-02-21,17.170000000000002,-0.0017457670495564237,3.0477025913169409e-06
"35-1",1950-02-23,17.209999,0.0023268772083100409,5.4143575425527294e-06
"36-1",1950-02-24,17.280000999999999,0.0040592691285841198,1.647766585827608e-05
"37-1",1950-02-27,17.280000999999999,0,0
"38-1",1950-02-28,17.219999000000001,-0.0034783803187043993,1.2099129641550118e-05
"39-1",1950-03-01,17.239999999999998,0.0011608243079730407,1.3475130739810889e-06
"40-1",1950-03-02,17.23,-0.00058021469570856965,3.3664909311618807e-07
"41-1",1950-03-03,17.290001,0.0034763069922592038,1.2084710304430232e-05
"42-1",1950-03-06,17.32,0.0017335456021916329,3.0051803548779511e-06
"43-1",1950-03-07,17.200001,-0.0069524611753486454,4.8336716394730267e-05
"44-1",1950-03-08,17.190000999999999,-0.00058156439082779343,3.3821714067890249e-07
"45-1",1950-03-09,17.07,-0.0070053407617636232,4.9074799188426942e-05
"46-1",1950-03-10,17.09,0.0011709603211502717,1.3711480737083475e-06
"47-1",1950-03-13,17.120000999999998,0.0017539319973098877,3.0762774511874519e-06
"48-1",1950-03-14,17.25,0.0075647143525596761,5.7224903235822358e-05
"49-1",1950-03-15,17.450001,0.011527562477656073,0.0001328846966762642
"50-1",1950-03-16,17.489999999999998,0.0022895830754854352,5.2421906595493437e-06
"51-1",1950-03-17,17.450001,-0.0022895830754854352,5.2421906595493437e-06
"52-1",1950-03-20,17.440000999999999,-0.00057323013474341877,3.2859278737795802e-07
"53-1",1950-03-21,17.450001,0.00057323013474341877,3.2859278737795802e-07
"54-1",1950-03-22,17.549999,0.0057141869767911579,3.2651932805729675e-05
"55-1",1950-03-23,17.559999000000001,0.0005696383275446415,3.2448782420785628e-07
"56-1",1950-03-24,17.559999000000001,0,0
"57-1",1950-03-27,17.459999,-0.0057110381216749495,3.2615956427224534e-05
"58-1",1950-03-28,17.530000999999999,0.0040012628405210471,1.6010104318934558e-05
"59-1",1950-03-29,17.440000999999999,-0.0051472801579253158,2.6494493024171663e-05
"60-1",1950-03-30,17.299999,-0.0080600321200181568,6.4964117775724378e-05
"61-1",1950-03-31,17.290001,-0.0005780861681659033,3.3418361782473701e-07
"62-1",1950-04-03,17.530000999999999,0.013785398446109376,0.00019003721031799479
"63-1",1950-04-04,17.549999,0.0011401369536092609,1.299912272985406e-06
"64-1",1950-04-05,17.629999000000002,0.0045480467564638083,2.0684729298980968e-05
"65-1",1950-04-06,17.780000999999999,0.0084723466404463821,7.1780657595883095e-05
"66-1",1950-04-10,17.850000000000001,0.0039292218969220194,1.5438784715251471e-05
"67-1",1950-04-11,17.75,-0.0056179923042236624,3.1561837530316298e-05
"68-1",1950-04-12,17.940000999999999,0.01064739645058399,0.00011336705117590855
"69-1",1950-04-13,17.98,0.0022271166714658008,4.9600486683209076e-06
